id	name	Y	X1	X3	X5	recipX1	recipX3	recipX5
138	Acura TL 4dr	20	3.575	3.2	1.08	.27972027972028	.3125	.925925925925926
139	Audi A4 1.8T convertible 2dr	23	3.638	1.8	1.05	.274876305662452	.555555555555556	.952380952380952
143	Audi A6 3.0 4dr	20	3.561	3	1.09	.2808199943836	.333333333333333	.91743119266055
152	Buick LeSabre Limited 4dr	20	3.591	3.8	1.12	.278473962684489	.263157894736842	.892857142857143
153	Buick Park Avenue 4dr	20	3.778	3.8	1.14	.264690312334569	.263157894736842	.87719298245614
1	Chevrolet Aveo 4dr	28	2.37	1.6	.98	.421940928270042	.625	1.02040816326531
48	Chevrolet Impala 4dr	21	3.465	3.4	1.11	.288600288600289	.294117647058824	.900900900900901
98	Chevrolet Impala SS 4dr	18	3.606	3.8	1.11	.277315585135885	.263157894736842	.900900900900901
100	Chevrolet Monte Carlo SS 2dr	18	3.434	3.8	1.11	.29120559114735	.263157894736842	.900900900900901
103	Chrysler Concorde LXi 4dr	19	3.548	3.5	1.13	.28184892897407	.285714285714286	.884955752212389
53	Chrysler PT Cruiser Limited 4dr	22	3.105	2.4	1.03	.322061191626409	.416666666666667	.970873786407767
156	Chrysler Sebring Limited convertible 2dr	21	3.448	2.7	1.06	.290023201856148	.37037037037037	.943396226415094
55	Chrysler Sebring Touring 4dr	21	3.222	2.7	1.08	.310366232153942	.37037037037037	.925925925925926
56	Dodge Intrepid SE 4dr	21	3.469	2.7	1.13	.288267512251369	.37037037037037	.884955752212389
6	Dodge Neon SE 4dr	29	2.581	2	1.05	.387446726075165	.5	.952380952380952
9	Ford Focus LX 4dr	27	2.606	2	1.03	.383729854182655	.5	.970873786407767
8	Ford Focus ZX3 2dr hatch	26	2.612	2	1.03	.382848392036753	.5	.970873786407767
11	Ford Focus ZX5 5dr	26	2.691	2	1.03	.371609067261241	.5	.970873786407767
61	Ford Taurus SES Duratec 4dr	19	3.313	3	1.09	.301841231512225	.333333333333333	.91743119266055
12	Honda Civic DX 2dr	32	2.432	1.7	1.03	.411184210526316	.588235294117647	.970873786407767
65	Honda Civic Si 2dr hatch	26	2.782	2	1.01	.359453630481668	.5	.99009900990099
17	Hyundai Accent GT 2dr hatch	29	2.339	1.6	.96	.427533133817871	.625	1.04166666666667
67	Hyundai Sonata LX 4dr	19	3.217	2.7	1.06	.310848616723656	.37037037037037	.943396226415094
111	Hyundai XG350 4dr	17	3.651	3.5	1.08	.273897562311695	.285714285714286	.925925925925926
21	Kia Optima LX 4dr	23	3.281	2.4	1.06	.304785126485827	.416666666666667	.943396226415094
68	Kia Optima LX V6 4dr	20	3.279	2.7	1.06	.304971027752364	.37037037037037	.943396226415094
26	Kia Spectra GSX 4dr hatch	24	2.697	1.8	1.01	.370782350760104	.555555555555556	.99009900990099
69	Mazda 6i 4dr	24	3.042	2.3	1.05	.328731097961867	.434782608695652	.952380952380952
27	Mini Cooper	28	2.524	1.6	.97	.396196513470681	.625	1.03092783505155
71	Mini Cooper S	25	2.678	1.6	.97	.373412994772218	.625	1.03092783505155
121	Mitsubishi Diamante LS 4dr	18	3.549	3.5	1.07	.281769512538743	.285714285714286	.934579439252336
122	Mitsubishi Galant GTS 4dr	18	3.649	3.8	1.08	.274047684297068	.263157894736842	.925925925925926
72	Nissan Altima S 4dr	21	3.039	2.5	1.1	.329055610398157	.4	.909090909090909
125	Nissan Maxima SL 4dr	20	3.476	3.5	1.11	.287686996547756	.285714285714286	.900900900900901
28	Nissan Sentra 1.8 4dr	28	2.513	1.8	1	.397930760047752	.555555555555556	1
73	Nissan Sentra SE-R 4dr	23	2.761	2.5	1	.362187613183629	.4	1
30	Pontiac Sunfire 1SA 2dr	24	2.771	2.2	1.04	.360880548538434	.454545454545455	.961538461538461
228	Saab 9-3 Aero convertible 2dr	21	3.7	2	1.05	.27027027027027	.5	.952380952380952
34	Saturn lon2 quad coupe 2dr	26	2.751	2.2	1.03	.363504180298073	.454545454545455	.970873786407767
37	Suzuki Aerio S 4dr	25	2.676	2.3	.98	.373692077727952	.434782608695652	1.02040816326531
177	Toyota Avalon XLS 4dr	21	3.439	3	1.07	.290782204129107	.333333333333333	.934579439252336
82	Toyota Camry LE 4dr	24	3.086	2.4	1.07	.324044069993519	.416666666666667	.934579439252336
41	Toyota Corolla CE 4dr	32	2.502	1.8	1.02	.399680255795364	.555555555555556	.980392156862745
42	Toyota Corolla S 4dr	32	2.524	1.8	1.02	.396196513470681	.555555555555556	.980392156862745
44	Toyota Echo 2dr manual	35	2.035	1.5	.93	.491400491400491	.666666666666667	1.0752688172043
87	Volkswagen GTI 1.8T 2dr hatch	24	2.934	1.8	.99	.340831629175187	.555555555555556	1.01010101010101
88	Volkswagen Jetta GLS TDI 4dr	38	3.003	1.9	.99	.333000333000333	.526315789473684	1.01010101010101
229	Volvo C70 LPT convertible 2dr	21	3.45	2.4	1.05	.289855072463768	.416666666666667	.952380952380952
183	Volvo S80 2.9 4dr	20	3.576	2.9	1.1	.279642058165548	.344827586206897	.909090909090909
231	Volvo S80 T6 4dr	19	3.653	2.9	1.1	.273747604708459	.344827586206897	.909090909090909
